gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,Churn
1,0,1,0,58,1,0,0,1,0,1,1,0,100.35,5681.1,False,True,False,False,True,False,False,True,False,False,False,False,True,0
1,0,0,0,49,1,0,1,1,0,1,1,1,103.7,5036.3,False,True,False,True,False,False,True,False,False,False,False,False,True,1
1,0,0,0,25,1,1,0,1,1,1,1,1,105.5,2686.05,False,True,False,True,False,False,False,False,True,False,True,False,False,0
0,0,1,1,69,1,1,1,1,1,1,1,0,113.25,7895.15,False,True,False,False,False,True,False,True,False,False,False,False,True,0
0,0,0,0,52,1,0,0,0,0,0,0,0,20.65,1022.95,False,False,True,False,True,False,False,False,False,True,True,False,False,0
1,0,0,1,71,1,1,0,1,0,1,1,0,106.7,7382.25,False,True,False,False,False,True,True,False,False,False,False,False,True,0
0,0,1,1,10,1,0,0,1,1,0,0,0,55.2,528.35,True,False,False,True,False,False,False,True,False,False,True,False,False,1
0,0,0,0,21,1,0,1,1,0,0,1,1,90.05,1862.9,False,True,False,True,False,False,False,False,True,False,True,False,False,0
1,1,0,0,1,0,0,0,1,0,0,1,1,39.65,39.65,True,False,False,True,False,False,False,False,True,False,False,True,False,1
1,0,1,0,12,1,0,0,0,0,0,0,0,19.8,202.25,False,False,True,False,True,False,True,False,False,False,True,False,False,0
1,0,0,0,1,1,0,0,0,0,0,0,0,20.15,20.15,False,False,True,True,False,False,False,False,False,True,True,False,False,1
0,0,1,0,58,1,0,1,0,1,0,0,1,59.9,3505.1,True,False,False,False,False,True,False,True,False,False,False,False,True,0
1,0,1,1,49,1,1,1,0,1,0,0,0,59.6,2970.3,True,False,False,True,False,False,False,True,False,False,True,False,False,0
0,0,0,0,30,1,1,1,0,0,0,0,1,55.3,1530.6,True,False,False,True,False,False,True,False,False,False,True,False,False,0
1,0,1,1,47,1,0,1,0,0,1,1,1,99.35,4749.15,False,True,False,True,False,False,False,False,True,False,False,False,True,1
1,0,1,1,1,0,0,1,0,0,0,0,0,30.2,30.2,True,False,False,True,False,False,False,False,True,False,False,True,False,1
1,0,1,0,72,1,1,1,1,1,1,1,1,90.25,6369.45,True,False,False,False,False,True,False,True,False,False,False,False,True,0
0,0,0,1,17,1,0,0,0,0,1,1,1,64.7,1093.1,True,False,False,True,False,False,False,False,False,True,True,False,False,1
0,1,1,0,71,1,1,1,1,1,0,0,1,96.35,6766.95,False,True,False,False,False,True,False,True,False,False,False,False,True,0
1,1,1,0,2,1,0,0,1,0,1,1,1,95.5,181.65,False,True,False,True,False,False,False,True,False,False,True,False,False,0
0,0,1,1,27,1,1,1,1,1,0,0,0,66.15,1874.45,True,False,False,False,True,False,False,False,False,True,True,False,False,0
1,0,0,0,1,1,0,0,0,0,0,0,0,20.2,20.2,False,False,True,True,False,False,True,False,False,False,True,False,False,0
1,1,0,0,1,1,0,0,0,0,0,0,0,45.25,45.25,True,False,False,True,False,False,True,False,False,False,True,False,False,0
0,0,1,1,72,1,1,1,0,1,1,0,0,99.9,7251.7,False,True,False,False,False,True,True,False,False,False,False,False,True,0
1,0,0,0,5,1,0,0,0,0,0,0,1,69.7,316.9,False,True,False,True,False,False,False,False,True,False,True,False,False,1
0,0,0,0,46,1,0,0,1,0,0,0,1,74.8,3548.3,False,True,False,True,False,False,False,True,False,False,True,False,False,0
1,0,0,0,34,1,0,1,1,0,1,1,1,106.35,3549.25,False,True,False,True,False,False,False,False,True,False,False,False,True,1
0,0,0,0,11,1,0,0,1,0,1,1,1,97.85,1105.4,False,True,False,True,False,False,True,False,False,False,False,False,True,1
1,0,1,1,10,1,0,1,0,0,0,0,0,49.55,475.7,True,False,False,False,True,False,False,False,False,True,True,False,False,0
0,0,1,1,70,1,1,1,0,0,1,0,1,69.2,4872.35,True,False,False,False,False,True,False,True,False,False,False,False,True,0
0,0,1,1,17,1,0,0,0,0,0,0,0,20.75,418.25,False,False,True,False,True,False,False,False,False,True,True,False,False,0
0,0,0,0,63,1,1,1,1,1,1,0,1,79.85,4861.45,True,False,False,False,False,True,False,True,False,False,False,False,True,0
0,0,1,0,13,1,1,1,0,1,1,0,1,76.2,981.45,True,False,False,True,False,False,False,False,True,False,False,False,True,0
0,0,0,0,49,1,0,0,0,0,0,1,1,84.5,3906.7,False,True,False,True,False,False,False,False,True,False,False,False,True,0
1,0,0,0,2,1,0,1,0,0,0,0,0,49.25,97.0,True,False,False,True,False,False,False,False,False,True,True,False,False,0
0,0,0,0,2,1,0,0,0,0,1,0,1,80.65,144.15,False,True,False,True,False,False,False,False,True,False,True,False,False,1
1,0,0,0,52,1,1,0,0,1,1,1,1,79.75,4217.8,True,False,False,False,False,True,False,True,False,False,False,False,True,0
0,0,1,1,69,1,1,0,1,1,0,0,1,64.15,4254.1,True,False,False,False,False,True,False,True,False,False,False,False,True,0
0,1,0,0,43,1,0,1,0,0,1,0,1,90.25,3838.75,False,True,False,True,False,False,False,False,True,False,False,False,True,0
0,0,0,0,15,1,1,1,0,0,1,1,1,99.1,1426.4,False,True,False,True,False,False,False,True,False,False,True,False,False,1
0,1,1,0,25,1,1,0,0,1,1,0,1,69.5,1752.65,True,False,False,True,False,False,False,True,False,False,False,False,True,0
0,1,1,0,8,1,0,1,0,0,0,0,1,80.65,633.3,False,True,False,True,False,False,False,True,False,False,False,False,True,1
0,1,1,1,60,1,1,1,1,1,0,1,1,74.85,4456.35,True,False,False,False,True,False,False,True,False,False,True,False,False,0
1,1,0,0,18,1,0,0,0,0,1,1,1,95.45,1752.55,False,True,False,True,False,False,False,False,True,False,False,False,True,1
0,0,1,1,63,1,1,0,0,0,1,1,1,99.65,6311.2,False,True,False,False,True,False,False,True,False,False,False,False,True,0
1,1,1,1,66,1,0,1,1,1,1,1,1,108.45,7076.35,False,True,False,False,True,False,False,False,True,False,False,False,True,0
0,0,1,1,34,1,0,0,0,0,0,0,0,24.95,894.3,False,False,True,False,False,True,False,True,False,False,False,False,True,0
0,0,0,0,72,1,0,0,1,1,1,1,1,107.5,7853.7,False,True,False,False,False,True,False,True,False,False,False,False,True,0
0,0,1,0,47,1,0,0,1,0,1,1,1,100.5,4707.1,False,True,False,True,False,False,False,False,True,False,False,False,True,0
1,0,0,0,60,1,0,1,0,0,1,0,1,89.9,5450.7,False,True,False,True,False,False,True,False,False,False,False,False,True,0
1,0,1,0,72,0,1,1,1,0,0,0,0,42.1,2962.0,True,False,False,False,False,True,True,False,False,False,False,True,False,0
0,0,1,1,18,1,0,0,1,1,0,0,1,54.4,957.1,True,False,False,False,True,False,False,True,False,False,True,False,False,0
0,0,0,0,9,1,0,0,0,0,1,1,0,94.4,857.25,False,True,False,True,False,False,False,False,True,False,False,False,True,1
0,0,0,0,3,1,0,1,0,1,1,1,1,75.3,244.1,True,False,False,True,False,False,False,False,True,False,True,False,False,0
1,0,1,0,47,1,0,1,0,0,0,0,1,78.9,3650.35,False,True,False,False,True,False,False,False,True,False,False,False,True,0
0,0,0,0,31,1,0,1,1,1,1,1,0,79.2,2497.2,True,False,False,False,False,True,False,False,False,True,True,False,False,0
0,0,1,1,50,1,0,0,0,0,0,0,0,20.15,930.9,False,False,True,False,False,True,True,False,False,False,True,False,False,0
1,0,0,0,10,1,1,0,1,0,0,0,1,79.85,887.35,False,True,False,True,False,False,False,False,False,True,True,False,False,0
1,0,0,0,1,1,0,0,0,1,0,0,0,49.05,49.05,True,False,False,True,False,False,False,False,False,True,True,False,False,0
0,0,1,1,52,1,0,0,0,0,0,0,1,20.4,1090.65,False,False,True,False,True,False,False,False,True,False,True,False,False,0
1,1,1,1,64,1,1,0,1,1,1,1,1,111.6,7099.0,False,True,False,False,False,True,True,False,False,False,False,False,True,0
1,0,1,1,62,1,0,0,0,0,0,0,1,24.25,1424.6,False,False,True,False,False,True,True,False,False,False,False,False,True,0
0,0,0,1,3,1,1,0,0,1,0,1,1,64.5,177.4,True,False,False,True,False,False,True,False,False,False,True,False,False,0
0,1,0,0,56,1,1,1,1,0,1,1,0,110.5,6139.5,False,True,False,False,True,False,False,False,True,False,False,False,True,0
0,0,0,0,46,1,0,0,0,0,0,1,0,55.65,2688.85,True,False,False,False,True,False,False,True,False,False,True,False,False,0
0,0,1,1,8,1,1,1,0,0,0,0,0,54.65,482.25,True,False,False,True,False,False,False,False,False,True,True,False,False,0
1,1,0,0,30,1,1,1,0,0,1,1,1,74.75,2111.3,True,False,False,True,False,False,False,False,True,False,True,False,False,0
0,0,1,1,45,1,0,0,0,0,0,0,1,25.9,1216.6,False,False,True,False,True,False,False,True,False,False,False,False,True,0
0,0,0,1,1,1,0,0,0,0,1,0,1,79.35,79.35,False,True,False,True,False,False,False,False,True,False,True,False,False,1
0,0,1,1,11,0,1,0,0,0,1,1,0,50.55,565.35,True,False,False,True,False,False,False,False,True,False,False,True,False,0
0,0,1,0,7,1,0,0,1,0,0,0,1,75.15,496.9,False,True,False,True,False,False,True,False,False,False,True,False,False,1
0,0,0,0,42,1,0,1,1,1,1,1,1,103.8,4327.5,False,True,False,True,False,False,True,False,False,False,True,False,False,0
0,0,1,0,49,1,0,0,0,0,0,0,1,20.15,973.35,False,False,True,False,False,True,True,False,False,False,True,False,False,0
1,0,0,0,9,1,0,1,0,0,1,1,1,99.3,918.75,False,True,False,True,False,False,False,True,False,False,False,False,True,0
0,0,1,0,35,1,1,0,0,0,1,0,1,62.15,2215.45,True,False,False,False,True,False,True,False,False,False,True,False,False,0
0,0,1,1,48,1,0,0,0,0,0,0,0,20.65,1057.0,False,False,True,False,False,True,True,False,False,False,True,False,False,0
0,0,1,1,46,1,0,0,0,0,0,0,1,19.95,927.1,False,False,True,False,False,True,False,False,False,True,True,False,False,0
1,0,1,0,29,0,0,0,0,0,1,0,0,33.75,1009.25,True,False,False,True,False,False,False,False,False,True,False,True,False,0
1,0,1,1,30,1,0,1,1,0,0,0,0,82.05,2570.2,False,True,False,True,False,False,True,False,False,False,True,False,False,0
1,1,0,0,1,1,0,0,0,1,0,0,0,74.7,74.7,False,True,False,True,False,False,False,False,True,False,True,False,False,0
1,0,1,1,66,1,1,0,1,1,1,1,1,84.0,5714.25,True,False,False,False,False,True,False,False,False,True,False,False,True,0
0,0,0,0,65,1,1,1,1,0,1,1,1,111.05,7107.0,False,True,False,True,False,False,False,True,False,False,False,False,True,0
1,0,0,0,72,1,0,1,1,0,1,1,1,100.9,7459.05,False,True,False,False,False,True,True,False,False,False,False,False,True,0
0,0,0,0,12,1,1,0,0,0,0,0,1,78.95,927.35,False,True,False,True,False,False,False,False,True,False,False,False,True,1
1,0,1,1,71,1,1,1,0,1,0,0,1,66.85,4748.7,True,False,False,False,True,False,False,True,False,False,False,False,True,0
1,0,0,0,5,1,0,0,0,0,0,0,0,21.05,113.85,False,False,True,True,False,False,False,False,False,True,True,False,False,1
1,0,0,0,52,1,0,0,0,0,0,0,0,21.0,1107.2,False,False,True,False,False,True,True,False,False,False,True,False,False,0
0,1,1,0,25,1,0,1,1,0,1,1,1,98.5,2514.5,False,True,False,True,False,False,False,False,True,False,True,False,False,1
1,0,0,0,1,1,0,0,0,0,0,0,0,20.2,20.2,False,False,True,True,False,False,False,False,False,True,True,False,False,0
0,0,1,1,1,1,0,0,0,0,0,0,0,19.45,19.45,False,False,True,True,False,False,False,False,True,False,True,False,False,0
1,0,0,0,38,1,0,0,1,1,1,0,0,95.0,3605.6,False,True,False,False,True,False,True,False,False,False,False,False,True,0
0,1,1,0,66,0,0,1,1,0,1,0,0,45.55,3027.25,True,False,False,False,True,False,True,False,False,False,False,True,False,0
1,0,1,0,68,1,0,1,1,1,1,1,1,110.0,7611.85,False,True,False,False,False,True,True,False,False,False,False,False,True,1
1,0,0,0,5,0,0,0,0,0,0,0,0,24.3,100.2,True,False,False,True,False,False,False,False,False,True,False,True,False,0
0,0,1,1,72,1,1,1,0,0,1,1,1,104.15,7303.05,False,True,False,False,True,False,False,False,True,False,False,False,True,0
0,0,0,0,32,0,1,0,0,0,0,0,0,30.15,927.65,True,False,False,False,True,False,False,False,False,True,False,True,False,0
1,0,0,0,43,1,0,0,0,0,1,1,0,94.35,3921.3,False,True,False,False,True,False,False,False,False,True,False,False,True,0
1,0,1,1,72,1,0,0,0,0,0,0,0,19.4,1363.25,False,False,True,False,False,True,False,True,False,False,True,False,False,0
1,0,1,0,55,1,1,1,0,0,1,0,1,96.75,5238.9,False,True,False,True,False,False,False,False,True,False,False,False,True,1
0,0,0,0,52,1,1,0,1,1,0,0,0,57.95,3042.25,True,False,False,False,True,False,False,True,False,False,True,False,False,0
0,0,0,0,43,1,0,1,1,0,1,0,1,91.65,3954.1,False,True,False,True,False,False,False,False,True,False,True,False,False,0
0,1,1,0,37,1,0,0,0,0,0,0,1,76.5,2868.15,False,True,False,True,False,False,False,False,True,False,False,False,True,1
0,0,1,1,64,0,0,1,0,1,1,1,1,54.6,3423.5,True,False,False,False,False,True,False,False,True,False,False,True,False,0
1,0,1,1,3,1,1,1,0,0,1,0,0,89.85,248.4,False,True,False,True,False,False,False,False,True,False,True,False,False,0
0,0,0,0,36,0,1,0,0,0,0,0,0,31.05,1126.35,True,False,False,False,False,True,True,False,False,False,False,True,False,0
0,0,1,1,10,1,1,0,0,0,1,1,1,100.25,1064.65,False,True,False,True,False,False,False,False,True,False,False,False,True,1
0,0,0,0,41,1,0,0,0,0,0,0,0,20.65,835.15,False,False,True,False,False,True,False,False,False,True,True,False,False,0
1,0,1,1,27,1,0,1,0,1,0,0,1,85.2,2151.6,False,True,False,True,False,False,False,True,False,False,False,False,True,0
0,0,1,1,56,1,0,0,1,0,1,1,1,99.8,5515.45,False,True,False,False,True,False,False,True,False,False,False,False,True,0
0,0,0,0,6,1,0,0,0,0,0,0,0,20.7,112.75,False,False,True,True,False,False,False,False,False,True,True,False,False,0
1,0,0,0,3,1,0,0,0,0,0,0,1,74.4,229.55,False,True,False,True,False,False,False,False,True,False,False,False,True,1
0,0,1,1,7,1,1,0,0,0,0,0,0,50.7,350.35,True,False,False,True,False,False,False,False,False,True,True,False,False,0
0,0,1,1,4,1,0,0,0,0,0,0,0,20.85,62.9,False,False,True,True,False,False,False,False,False,True,True,False,False,0
1,0,0,0,33,1,1,0,0,1,1,0,1,88.95,3027.65,False,True,False,False,False,True,False,False,True,False,True,False,False,0
0,1,0,0,27,1,0,0,1,0,0,0,1,78.05,2135.5,False,True,False,True,False,False,False,False,True,False,False,False,True,1
1,0,1,0,72,1,0,0,0,0,0,0,1,23.55,1723.95,False,False,True,False,False,True,True,False,False,False,False,False,True,0
1,0,0,0,1,1,0,0,0,0,0,0,0,19.75,19.75,False,False,True,True,False,False,False,False,False,True,True,False,False,0
1,1,0,0,71,0,1,1,0,0,1,1,1,56.45,3985.35,True,False,False,False,True,False,False,False,True,False,False,True,False,0
0,0,0,0,13,1,0,0,0,0,0,1,1,85.95,1215.65,False,True,False,True,False,False,False,False,True,False,False,False,True,0
0,0,1,1,25,0,1,1,1,0,1,1,1,58.6,1502.65,True,False,False,True,False,False,False,True,False,False,False,True,False,1
1,0,0,0,67,1,0,0,0,1,0,0,0,50.55,3260.1,True,False,False,False,False,True,True,False,False,False,True,False,False,0
1,0,0,0,1,0,0,0,0,0,0,1,1,35.45,35.45,True,False,False,True,False,False,False,False,True,False,False,True,False,1
1,0,0,0,2,1,0,0,0,0,0,0,0,44.35,81.25,True,False,False,True,False,False,False,False,True,False,True,False,False,1
0,0,0,0,43,1,0,0,0,0,0,0,1,25.7,1188.2,False,False,True,False,False,True,False,True,False,False,False,False,True,0
0,0,0,0,23,1,1,0,0,0,0,0,1,75.0,1778.5,False,True,False,True,False,False,True,False,False,False,True,False,False,0
0,0,1,1,64,1,0,0,0,0,0,0,0,20.2,1277.75,False,False,True,False,False,True,False,False,False,True,True,False,False,0
1,0,0,1,57,1,0,0,0,0,0,0,1,19.6,1170.55,False,False,True,False,False,True,False,False,False,True,True,False,False,0
0,1,1,0,1,1,0,0,0,0,0,0,1,70.45,70.45,False,True,False,True,False,False,False,False,False,True,True,False,False,1
0,1,1,1,72,1,1,1,1,1,1,1,1,88.05,6425.65,True,False,False,False,False,True,False,True,False,False,False,False,True,0
0,0,0,0,8,1,1,0,0,1,0,1,0,71.15,563.65,True,False,False,True,False,False,False,False,True,False,False,False,True,1
0,0,1,0,61,1,0,1,0,0,1,1,1,101.05,5971.25,False,True,False,False,False,True,True,False,False,False,False,False,True,0
1,0,0,0,64,1,1,1,0,0,0,0,1,84.3,5289.05,False,True,False,False,True,False,False,True,False,False,False,False,True,0
1,1,1,0,71,1,0,0,0,0,0,0,0,23.95,1756.2,False,False,True,False,False,True,True,False,False,False,False,False,True,0
0,0,1,1,65,1,1,1,0,1,1,0,1,99.05,6416.7,False,True,False,False,False,True,False,True,False,False,False,False,True,0
1,0,0,0,3,1,0,0,0,0,0,0,0,19.6,61.35,False,False,True,False,True,False,False,False,False,True,True,False,False,0
1,0,0,0,1,1,0,0,0,0,0,0,1,45.65,45.65,True,False,False,True,False,False,False,False,True,False,True,False,False,1
1,0,0,1,30,1,0,1,1,0,1,0,0,64.5,1929.95,True,False,False,False,True,False,False,True,False,False,True,False,False,0
1,0,1,1,15,1,0,1,1,1,0,1,1,69.5,1071.4,True,False,False,True,False,False,False,False,False,True,True,False,False,0
0,0,1,1,8,1,0,0,0,1,1,1,1,68.55,564.35,True,False,False,True,False,False,False,False,True,False,True,False,False,0
1,0,0,0,7,1,0,0,0,0,1,1,0,95.0,655.5,False,True,False,True,False,False,False,False,False,True,False,False,True,1
0,0,1,1,70,1,1,1,1,0,1,1,1,108.15,7930.55,False,True,False,False,True,False,False,True,False,False,False,False,True,0
1,0,1,1,62,1,1,1,1,1,1,1,0,86.1,5215.25,True,False,False,False,False,True,False,False,True,False,True,False,False,0
0,0,1,1,6,1,0,0,0,0,0,0,0,19.7,113.5,False,False,True,True,False,False,False,False,False,True,True,False,False,0
0,0,1,1,14,1,0,0,0,0,0,1,1,80.9,1152.8,False,True,False,True,False,False,True,False,False,False,True,False,False,0
0,0,0,0,22,1,0,0,0,0,1,0,1,84.15,1821.95,False,True,False,True,False,False,True,False,False,False,False,False,True,0
1,0,1,1,22,1,0,0,0,0,0,0,0,20.15,419.9,False,False,True,False,True,False,False,False,False,True,True,False,False,0
1,0,1,1,16,1,1,0,1,0,1,0,0,64.25,1024.0,True,False,False,False,False,True,False,False,False,True,True,False,False,0
1,0,0,0,10,1,0,0,0,0,0,0,0,25.7,251.6,False,False,True,False,False,True,True,False,False,False,False,False,True,0
0,0,0,1,13,1,1,1,0,0,0,0,1,56.0,764.55,True,False,False,True,False,False,False,False,True,False,True,False,False,0
0,0,1,0,20,1,1,0,0,0,0,0,0,82.4,1592.35,False,True,False,True,False,False,False,False,True,False,False,False,True,1
0,0,0,0,2,1,0,0,0,0,0,0,1,69.7,135.2,False,True,False,True,False,False,False,False,True,False,True,False,False,0
1,0,0,0,53,1,0,1,1,1,0,1,1,73.9,3958.25,True,False,False,False,False,True,True,False,False,False,False,False,True,0
0,0,1,1,11,1,0,0,0,0,0,0,0,20.6,233.9,False,False,True,False,True,False,False,False,False,True,True,False,False,0
1,0,1,0,69,1,0,0,0,0,0,0,0,19.9,1363.45,False,False,True,False,False,True,False,False,False,True,True,False,False,0
0,0,0,0,4,1,0,0,0,0,0,0,1,70.9,273.0,False,True,False,True,False,False,True,False,False,False,True,False,False,1
1,0,1,0,72,1,1,1,1,1,1,1,1,89.05,6254.45,True,False,False,False,False,True,True,False,False,False,False,False,True,0
1,1,1,0,58,0,0,1,1,0,0,1,1,45.3,2651.2,True,False,False,True,False,False,False,False,True,False,False,True,False,1
0,0,1,1,16,1,0,0,0,0,0,0,0,20.4,321.4,False,False,True,True,False,False,False,False,True,False,True,False,False,0
1,0,1,0,43,1,1,0,1,1,0,0,1,84.25,3539.25,False,True,False,False,True,False,True,False,False,False,True,False,False,0
0,0,1,0,2,1,0,0,1,1,1,1,1,104.4,242.8,False,True,False,True,False,False,False,False,True,False,False,False,True,1
1,0,1,0,14,1,0,1,1,1,1,1,0,81.95,1181.75,True,False,False,False,False,True,False,False,False,True,True,False,False,0
0,0,1,0,53,1,0,0,1,0,1,1,1,94.85,5000.2,False,True,False,False,True,False,True,False,False,False,True,False,False,1
0,0,0,0,32,1,0,0,0,0,0,0,0,20.55,654.55,False,False,True,False,True,False,True,False,False,False,True,False,False,0
0,0,1,0,34,1,0,0,0,0,0,0,0,24.7,780.2,False,False,True,True,False,False,False,False,True,False,False,False,True,0
0,1,0,0,15,1,0,0,0,0,0,0,1,74.45,1145.7,False,True,False,True,False,False,False,False,False,True,False,False,True,1
0,1,0,0,7,1,1,0,0,0,0,0,0,76.45,503.6,False,True,False,True,False,False,True,False,False,False,True,False,False,1
0,0,1,1,15,1,0,1,1,0,1,1,1,105.35,1559.25,False,True,False,True,False,False,True,False,False,False,False,False,True,0
1,0,1,0,61,1,0,0,0,0,0,0,1,20.55,1252.0,False,False,True,False,True,False,False,True,False,False,True,False,False,0
0,0,0,0,1,0,0,1,0,0,0,0,0,29.95,29.95,True,False,False,True,False,False,True,False,False,False,False,True,False,1
0,0,0,0,1,1,0,0,0,0,0,0,0,45.3,45.3,True,False,False,True,False,False,False,False,False,True,True,False,False,0
1,0,0,0,8,1,0,0,0,0,0,1,0,84.5,662.65,False,True,False,True,False,False,True,False,False,False,False,False,True,1
1,0,1,1,33,1,1,0,1,0,1,1,0,74.75,2453.3,True,False,False,False,True,False,False,True,False,False,True,False,False,0
0,0,0,0,13,1,0,1,1,0,0,0,1,79.25,1111.65,False,True,False,True,False,False,False,False,True,False,True,False,False,1
0,0,1,0,1,0,0,0,0,0,0,0,1,24.8,24.8,True,False,False,True,False,False,False,False,True,False,False,True,False,1
1,0,0,0,20,1,0,1,0,0,0,0,1,51.8,1023.85,True,False,False,True,False,False,False,False,False,True,True,False,False,0
1,0,0,0,3,0,0,0,0,1,0,0,0,30.4,82.15,True,False,False,True,False,False,False,False,True,False,False,True,False,0
0,0,0,0,13,1,0,0,0,0,0,0,0,19.65,244.8,False,False,True,False,True,False,False,False,True,False,True,False,False,0
0,0,1,0,40,1,0,1,0,0,0,0,0,56.6,2379.1,True,False,False,True,False,False,False,True,False,False,False,False,True,0
1,0,1,1,43,1,1,0,0,1,0,1,1,71.9,3173.35,True,False,False,False,True,False,False,True,False,False,False,False,True,0
1,0,1,0,6,1,0,1,1,0,0,1,1,91.0,531.0,False,True,False,True,False,False,False,False,True,False,True,False,False,1
0,0,1,1,69,1,0,0,0,0,0,0,0,19.75,1375.4,False,False,True,False,False,True,True,False,False,False,True,False,False,0
0,0,1,1,72,1,1,1,1,0,1,1,0,109.7,8129.3,False,True,False,False,False,True,False,True,False,False,False,False,True,0
1,0,1,1,59,1,0,0,0,0,0,0,0,19.3,1192.7,False,False,True,False,False,True,False,True,False,False,True,False,False,0
0,0,1,0,20,1,1,1,0,1,1,0,1,96.55,1901.65,False,True,False,True,False,False,False,False,True,False,True,False,False,0
1,0,1,1,24,1,0,0,0,0,0,0,1,24.1,587.4,False,False,True,False,False,True,True,False,False,False,False,False,True,0
1,0,0,0,59,1,0,1,1,1,1,1,1,111.35,6519.75,False,True,False,True,False,False,False,False,True,False,False,False,True,0
1,0,1,1,72,1,0,1,1,1,1,1,1,112.25,8041.65,False,True,False,False,False,True,True,False,False,False,False,False,True,0
1,0,0,1,1,1,0,0,0,0,0,0,0,20.75,20.75,False,False,True,True,False,False,False,False,False,True,True,False,False,0
0,0,1,0,27,1,1,0,0,1,1,1,1,101.9,2681.15,False,True,False,False,True,False,False,True,False,False,True,False,False,0
0,0,0,0,14,1,0,1,0,1,0,0,1,80.05,1112.3,False,True,False,True,False,False,False,True,False,False,True,False,False,0
1,0,1,1,71,1,1,0,1,0,1,1,0,105.55,7405.5,False,True,False,False,False,True,False,False,True,False,False,False,True,0
1,0,0,1,13,1,0,0,0,0,1,0,1,78.3,1033.95,False,True,False,True,False,False,False,True,False,False,True,False,False,0
1,0,0,0,44,1,0,0,0,0,0,0,0,68.85,2958.95,False,True,False,True,False,False,False,True,False,False,True,False,False,0
0,0,0,0,33,1,0,1,0,1,0,0,1,79.95,2684.85,False,True,False,False,True,False,True,False,False,False,True,False,False,0
1,0,1,1,72,0,1,1,1,1,0,1,1,55.45,4179.2,True,False,False,False,False,True,False,True,False,False,False,True,False,0
1,0,0,0,1,1,0,0,0,0,0,1,0,79.9,79.9,False,True,False,True,False,False,False,False,True,False,True,False,False,1
0,0,0,0,19,1,1,0,1,1,1,1,1,106.6,1934.45,False,True,False,True,False,False,False,False,True,False,True,False,False,1
1,0,1,0,64,1,0,1,1,1,1,1,1,102.45,6654.1,False,True,False,False,True,False,False,True,False,False,True,False,False,0
1,0,0,0,2,1,0,0,0,0,0,0,1,46.0,84.5,True,False,False,True,False,False,False,True,False,False,True,False,False,1
0,0,0,0,1,0,0,0,0,0,0,0,0,25.25,25.25,True,False,False,True,False,False,False,False,True,False,False,True,False,0
1,0,0,1,61,1,0,0,0,0,0,0,0,19.75,1124.2,False,False,True,False,False,True,False,False,False,True,True,False,False,0
0,0,1,1,29,1,0,0,0,0,0,0,0,20.0,540.05,False,False,True,False,True,False,False,False,True,False,True,False,False,0
1,1,1,0,23,1,0,0,0,0,0,1,0,86.8,1975.85,False,True,False,True,False,False,False,False,True,False,False,False,True,0
